Course Name,Study area,Study type,Location,Entry Score,Prerequisites,Student type,Learning mode,Duration,Fees,Next intake,Course Page
Master of Sustainable Practice,Building,PG,Melbourne City,Not applicable,,Domestic,On campus,Full-time 2 year,,"February, July",https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-sustainable-practice-mc240
Master of Urban Design,Building,PG,Melbourne City,,,International,On campus,Full-time 2 year,48960,"February, July",https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-urban-design-mc193
Master of Urban Planning and Environment,Building,PG,Melbourne City,,,International,On campus,Full-time 2 yearsEligible for advanced standing,36480,"February, July",https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-urban-planning-and-environment-mc221
Online Graduate Certificate in Project Management,Building,PG,Online,,,International,Online,Part-time 8 months intensive,4080,"January, March, May, July, September, October",https://www.rmit.edu.au/study-with-us/levels-of-study/online/online-graduate-certificate-in-project-management
Online Graduate Diploma in Project Management,Building,PG,Online,,,International,Online,Part-time 16 months intensive,4080,"January, March, May, July, September, October",https://www.rmit.edu.au/study-with-us/levels-of-study/online/online-graduate-diploma-in-project-management
Master of Applied Science (Built Environment),Building,Research,Melbourne City,,,International,On campus,Full-time 2 year,34560,Continuous,Master of Applied Science (Built Environment) - RMIT University
Master of Design (Architecture & Design),Building,Research,Melbourne City,,,International,On campus,Full-time 2 year,39360,Continuous,Master of Design (Architecture & Design) - RMIT University
Master of Science (Geospatial Sciences),Building,Research,Melbourne City,,,International,On campus,Full-time 2 year,36480,Continuous,Master of Science (Geospatial Sciences) - RMIT University
"Master of Social Science (Global, Urban & Social Studies)",Building,Research,Melbourne City,,,International,On campus,Full-time 2 year,31680,Continuous,"Master of Social Science (Global, Urban & Social Studies) - RMIT University"
PhD (Architecture & Design),Building,Research,Melbourne City,,,International,On campus,Full-time 3-4 years,39360,Continuous,PhD (Architecture & Design) - RMIT University
PhD (Built Environment),Building,Research,Melbourne City,,,International,On campus,Full-time 3-4 years,34560,Continuous,PhD (Built Environment) - RMIT University
"PhD (Global, Urban & Social Studies)",Building,Research,Melbourne City,,,International,On campus,Full-time 3-4 years,31680,Continuous,"PhD (Global, Urban & Social Studies) - RMIT University"
Executive Master of Business Administration,Business,PG,Melbourne City,,,International,On campus,,,,
Graduate Certificate in Blockchain Enabled Business,Business,PG,Melbourne City,,,International,On campus,,,,
Graduate Certificate in Business Administration,Business,PG,Melbourne City,,,International,On campus,,,,
Graduate Certificate in Business Administration (Executive),Business,PG,Melbourne City,,,International,On campus,,,,
